"Magento Booster","Magento Booster"
"Allow Everything","Alles erlauben"
"some title","Beliebiger Titel"
"General Settings","Globale Einstellungen"
"Please indicate names of all blocks, that you would like to keep dynamic","Bitte geben Sie alle Namen von Blocks, die Sie dynamisch lassen moechten"
"Separate by commas or indicate each block in a new line","Trennen Sie durch Kommas ab oder machen Sie jeder Block in einer neuen Linie"
"Flush JavaScript/CSS Cache with Pages Cache","Gleichen Sie Cache von JavaScript/CSS mit Seitencache"
"JavaScript/CSS Cache will be cleared every 15 minutes","Cache von JavaScript/CSS wird jede 15 Minuten geloescht"
"Please do not forget to restore the original index.php from the backup.","Bitte vergessen Sie nicht den Original index.php aus Backup erneuern."
"Error while enabling Magento Booster cache. File %s is not writable.","Fehler waehrend der Einschaltung von Magento Booster-Cache."
"Error while disabling Magento Booster cache. File %s is not writable.","Fehler waehrend der Ausschaltung von Magento Booster-Cache. File %s ist nicht schreibbar."
"Error while disabling Magento Booster extension. File %s is not writable.","Fehler waehrend der Ausschaltung von Magento Booster-Erweiterung. File %s ist nicht schreibbar."
