"Magento Booster","Magento Booster"
"Allow Everything","Permitir todo"
"some title","algún título"
"General Settings","Configuración general"
"Please indicate names of all blocks, that you would like to keep dynamic","Por favor, indique los nombres de todos los bloques, los cuales a usted le gustaría mantener dinámicos"
"Separate by commas or indicate each block in a new line","Separe con comas o indique cada bloque en una nueva línea"
"Flush JavaScript/CSS Cache with Pages Cache","Llenar JavaScript/CSS caché con las páginas de caché"
"JavaScript/CSS Cache will be cleared every 15 minutes","JavaScript/CSS caché se borra cada 15 minutos"
"Please do not forget to restore the original index.php from the backup.","Por favor no se olvide de restaurar el index.php original de la copia de seguridad"
"Error while enabling Magento Booster cache. File %s is not writable.","Se ha producido un error durante el proceso de habilitar Magento Booster caché.No se puede reescribir el archivo %s."
"Error while disabling Magento Booster cache. File %s is not writable.","Se ha producido un error durante el proceso de deshabilitar Magento Booster caché.No se puede reescribir el archivo %s."
"Error while disabling Magento Booster extension. File %s is not writable.","Se ha producido un error durante el proceso de deshabilitar la extensión de Magento Booster.No se puede reescribir el archivo %s."
