"Magento Booster","Magento Dispositivo Ausiliario"
"Allow Everything","Permettere tutto"
"some title","alcuno titolo"
"General Settings","Impostazioni Generali"
"Please indicate names of all blocks, that you would like to keep dynamic","Fornisce i nomi di tutti i blocchi,che si vorrebbe mantenere dinamici"
"Separate by commas or indicate each block in a new line","Separa da virgole o indica ogni blocco in una nuova linea"
"Flush JavaScript/CSS Cache with Pages Cache","Purificare JavaScript/CSS Cache con Cache di Pagine"
"JavaScript/CSS Cache will be cleared every 15 minutes","JavaScript/CSS Cache sara` purificata ogni 15 minuti"
"Please do not forget to restore the original index.php from the backup.","Non dimenticare di ripristinare la index.php originale dalla copia di riserva."
"Error while enabling Magento Booster cache. File %s is not writable.","Si è verificato un errore durante attivazione di Magento Dispositivo Ausiliario di cache. File% s non è scrivibile"
"Error while disabling Magento Booster cache. File %s is not writable.","Si è verificato un errore durante disattivazione di Magento Dispositivo Ausiliario di cache. File% s non è scrivibile"
"Error while disabling Magento Booster extension. File %s is not writable.","Si è verificato un errore durante disattivazione di Magento Dispositivo Ausiliario di estensione. File% s non è scrivibile"
