"Magento Booster","Magento Booster"
"Allow Everything","Alles Toelaten"
"some title","een titel"
"General Settings","Algemene Instellingen"
"Please indicate names of all blocks, that you would like to keep dynamic","Geef alstublieft aan de namen van alle blokken, die uw wilt dynamisch bewaren"
"Separate by commas or indicate each block in a new line","Scheid door komma's of geef aan elke blok in een nieuwe lijn"
"Flush JavaScript/CSS Cache with Pages Cache","Spoel JavaScript/CSS Cache met de Cache van de Paginas"
"JavaScript/CSS Cache will be cleared every 15 minutes","JavaScript/CSS Cache zal worden gewist om de 15 minuten"
"Please do not forget to restore the original index.php from the backup.","Vergeet niet om de originele index.php terug te zetten van de backup."
"Error while enabling Magento Booster cache. File %s is not writable.","Fout tijdens het starten van de Magento Booster cache. Bestand %s is niet beschrijfbaar."
"Error while disabling Magento Booster cache. File %s is not writable.","Fout tijdens het stoppen van de Magento Booster cache. Bestand %s is niet beschrijfbaar."
"Error while disabling Magento Booster extension. File %s is not writable.","Fout tijdens het stoppen van de Magento Booster extensie. Bestand %s is niet beschrijfbaar."
